1762387409,3 idle,0.949
1762387410,3 idle,0.949
1762387411,3 idle,0.949
1762387412,3 idle,1.000
1762387413,2 drink,1.000
1762387414,2 drink,0.699
1762387415,2 drink,0.788
1762387416,2 drink,0.632
1762387417,2 drink,0.909
1762387418,2 drink,0.936
1762387419,2 drink,0.791
1762387420,2 drink,0.557
1762387421,2 drink,0.946
1762387422,2 drink,0.890
1762387423,2 drink,0.860
1762387424,2 drink,0.917
1762387425,1 writing,0.979
1762387426,1 writing,0.991
1762387427,1 writing,0.902
1762387428,2 drink,0.670
1762387429,2 drink,0.821
1762387430,2 drink,0.942
1762387431,2 drink,0.942
1762387432,2 drink,0.993
1762387433,2 drink,0.789
1762387434,2 drink,0.555
1762387435,2 drink,0.630
1762387436,2 drink,0.650
1762387437,2 drink,0.524
1762387438,2 drink,0.849
1762387439,2 drink,0.787
1762387440,2 drink,0.871
1762387441,2 drink,0.672
1762387442,2 drink,0.679
1762387443,2 drink,0.999
1762387444,2 drink,0.844
1762387445,2 drink,0.981
1762387446,2 drink,0.991
1762387447,2 drink,0.747
1762387448,2 drink,0.952
1762387449,2 drink,0.980
1762387450,2 drink,0.958
1762387451,2 drink,0.775
1762387452,2 drink,0.925
1762387453,2 drink,0.630
1762387454,2 drink,0.724
1762387455,2 drink,0.819
1762387456,2 drink,0.905
1762387457,2 drink,0.942
1762387458,2 drink,0.824
1762387459,2 drink,0.864
1762387460,2 drink,0.802
1762387461,2 drink,0.760
1762387462,2 drink,0.780
1762387463,2 drink,0.747
1762387464,2 drink,0.732
1762387465,2 drink,0.825
1762387466,2 drink,0.619
1762387467,2 drink,0.538
1762387468,2 drink,0.570
1762387469,2 drink,0.727
1762387470,2 drink,0.695
1762387471,2 drink,0.561
1762387472,2 drink,0.558
1762387473,2 drink,0.927
1762387474,2 drink,0.986
1762387475,2 drink,0.980
1762388098,3 idle,0.949
1762388099,3 idle,0.949
1762388100,3 idle,0.523
1762388101,3 idle,0.680
1762388102,1 writing,0.996
1762388103,1 writing,0.717
1762388104,2 drink,0.611
1762388105,2 drink,0.580
1762388106,2 drink,0.971
1762388107,2 drink,0.944
1762388108,2 drink,0.771
1762388109,2 drink,0.794
1762388110,2 drink,0.918
1762388111,2 drink,0.915
1762388112,2 drink,0.987
1762388113,2 drink,0.977
1762388114,2 drink,0.924
1762388115,2 drink,0.954
1762388116,2 drink,0.996
1762388117,2 drink,0.881
1762388118,2 drink,0.629
1762388119,2 drink,0.931
1762388120,2 drink,0.563
1762388121,2 drink,0.674
1762388122,2 drink,0.622
1762388123,2 drink,0.730
1762388124,2 drink,0.745
1762388125,2 drink,0.989
1762388126,2 drink,0.790
1762388127,2 drink,0.405
1762388128,2 drink,0.990
1762388129,2 drink,0.981
1762388130,2 drink,0.998
1762388131,2 drink,0.986
1762388132,2 drink,0.676
1762388133,2 drink,0.736
1762388134,2 drink,0.840
1762388135,2 drink,0.989
1762388136,2 drink,0.990
1762388137,2 drink,0.983
1762388138,2 drink,0.999
1762388139,2 drink,0.979
1762388140,2 drink,0.718
1762388141,2 drink,0.987
1762388142,2 drink,0.956
1762388143,2 drink,0.881
1762388144,2 drink,0.780
1762388145,2 drink,0.895
1762388146,2 drink,0.995
1762388147,2 drink,1.000
1762388148,2 drink,1.000
1762388149,2 drink,0.998
1762388150,2 drink,0.999
1762388151,2 drink,0.856
1762388152,2 drink,0.918
1762388153,2 drink,0.979
1762388154,2 drink,0.971
1762388155,2 drink,0.998
1762388156,2 drink,0.892
1762388157,2 drink,0.875
1762388158,2 drink,0.700
1762388159,2 drink,0.765
1762388160,2 drink,0.782
1762388161,2 drink,0.965
1762388162,2 drink,0.995
1762388163,2 drink,0.940
1762388164,1 writing,0.968
1762388165,1 writing,0.964
1762388166,1 writing,0.953
1762388167,1 writing,0.932
1762388168,1 writing,0.911
1762388169,1 writing,0.877
1762388170,1 writing,0.918
1762388171,1 writing,0.881
1762388172,1 writing,0.820
1762388173,1 writing,0.918
1762388174,1 writing,0.991
1762388175,1 writing,0.957
1762388176,1 writing,0.976
1762388177,1 writing,0.960
1762388178,1 writing,0.954
1762388179,1 writing,0.845
1762388180,1 writing,0.782
1762388181,1 writing,0.954
1762388182,1 writing,0.968
1762388183,1 writing,0.784
1762388184,1 writing,0.827
1762388185,1 writing,0.881
1762388186,1 writing,0.697
1762388187,1 writing,0.651
1762388188,1 writing,0.419
1762388189,1 writing,0.999
1762388190,2 drink,0.976
1762388191,2 drink,0.531
1762388192,2 drink,0.704
1762388193,1 writing,0.758
1762388194,1 writing,0.407
1762388195,1 writing,0.399
1762388196,0 typing,0.421
1762388197,3 idle,0.415
1762388198,0 typing,0.468
1762388199,0 typing,0.423
1762388200,0 typing,0.600
1762388201,0 typing,0.528
1762388202,0 typing,0.656
1762388203,0 typing,0.616
1762388204,0 typing,0.901
1762388205,0 typing,0.523
1762388206,0 typing,0.628
1762388207,0 typing,0.922
1762388208,3 idle,0.943
1762388209,3 idle,0.532
1762388210,3 idle,0.798
1762388211,3 idle,0.689
1762388212,3 idle,0.779
1762388213,1 writing,0.722
1762388214,1 writing,0.738
1762388215,1 writing,0.881
1762388216,1 writing,0.845
1762388217,1 writing,0.739
1762388218,1 writing,0.945
1762388219,1 writing,0.776
1762388220,1 writing,0.952
1762388221,1 writing,0.766
1762388222,1 writing,0.388
1762388223,1 writing,0.502
1762388224,1 writing,0.374
1762388225,1 writing,0.508
1762388226,1 writing,0.446
1762388227,0 typing,0.442
1762388228,0 typing,0.474
1762388229,0 typing,0.495
1762388230,1 writing,0.576
1762388231,1 writing,0.506
1762388232,1 writing,0.936
1762388233,1 writing,0.988
1762388234,1 writing,0.970
1762388235,1 writing,0.985
1762388236,1 writing,0.946
1762388237,1 writing,0.984
1762388238,1 writing,0.953
1762388239,1 writing,0.937
1762388240,1 writing,0.963
1762388241,1 writing,0.955
1762388242,1 writing,0.928
1762388243,1 writing,0.968
1762388244,1 writing,0.960
1762388245,1 writing,0.798
1762388246,1 writing,0.761
1762388247,1 writing,0.621
